structure,spg_symbol_framework,spg_number_framework,lattice_type_framework,crystal_system_framework,spg_symbol_structure,spg_number_structure,lattice_type_structure,crystal_system_structure
il0014931581_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014918899_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009773484_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012551743_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011242871_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014908794_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011249015_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008082610_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012829247_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014932003_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014932557_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004177976_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014467908_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014753374_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014917858_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0006798850_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013012319_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012640774_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012671557_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014861910_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015589857_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013931708_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009161503_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008152921_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014927929_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012162286_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012697686_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012645335_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012697871_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008511778_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014912112_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014477828_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015850837_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013919712_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015316949_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008153423_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014424129_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
