# "Timestep" "MSD"
281000 36.66313236010602 
282000 36.80973969734048 
283000 36.88574390263548 
284000 37.099296363434206 
285000 37.23859187911992 
286000 37.27006248144427 
287000 37.33688373487718 
288000 37.50836205101925 
289000 37.68126112799624 
290000 37.78535132897191 
291000 37.979484697223356 
292000 38.05708809288062 
293000 38.15829965450893 
294000 38.48226013439159 
295000 38.4375275473916 
296000 38.44197790185442 
297000 38.69116313166825 
298000 38.96138127324503 
299000 39.079975790826104 
300000 39.30937457323491 
301000 39.44721234731086 
302000 39.57855976373463 
303000 39.68648546568196 
304000 39.790529260992905 
305000 39.962083353881184 
306000 40.01995972679863 
307000 40.1551606794927 
308000 40.284835819961955 
309000 40.54746547116048 
310000 40.63823171522644 
311000 40.719981246301174 
312000 40.9670046337547 
313000 41.16924811456294 
